"","Genotype","Repetition","nTub"
"1",1,1,53
"2",1,2,35
"3",1,3,32
"4",1,4,48
"5",1,5,49
"6",1,6,55
"7",1,7,54
"8",1,8,52
"9",4,1,50
"10",4,2,31
"11",4,3,41
"12",4,4,55
"13",4,5,38
"14",4,6,52
"15",4,7,48
"16",4,8,45
"17",6,1,35
"18",6,2,38
"19",6,3,47
"20",6,4,34
"21",6,5,45
"22",6,6,30
"23",6,7,39
"24",6,8,43
"25",2,1,30
"26",2,2,26
"27",2,3,26
"28",2,4,23
"29",2,5,40
"30",2,6,27
"31",2,7,46
"32",2,8,27
"33",3,1,38
"34",3,2,25
"35",3,3,54
"36",3,4,28
"37",3,5,25
"38",3,6,28
"39",3,7,41
"40",3,8,45
"41",5,1,21
"42",5,2,46
"43",5,3,43
"44",5,4,29
"45",5,5,17
"46",5,6,18
"47",5,7,36
"48",5,8,3
