Repeticao;Genotipo;Dose;BotaoFloral
1;Branca ;0;10
1;UFLA R1440;0;90
1;BRS Amelia;0;55
1;Branca ;250;119
1;UFLA R1440;250;158
1;BRS Amelia;250;125
1;Branca ;500;34
1;UFLA R1440;500;67
1;BRS Amelia;500;64
1;Branca ;750;60
1;UFLA R1440;750;115
1;BRS Amelia;750;59
1;Branca ;1000;10
1;UFLA R1440;1000;117
1;BRS Amelia;1000;91
2;Branca ;0;10
2;UFLA R1440;0;52
2;BRS Amelia;0;35
2;Branca ;250;24
2;UFLA R1440;250;147
2;BRS Amelia;250;120
2;Branca ;500;61
2;UFLA R1440;500;74
2;BRS Amelia;500;108
2;Branca ;750;66
2;UFLA R1440;750;31
2;BRS Amelia;750;99
2;Branca ;1000;6
2;UFLA R1440;1000;80
2;BRS Amelia;1000;68
3;Branca ;0;10
3;UFLA R1440;0;13
3;BRS Amelia;0;20
3;Branca ;250;75
3;UFLA R1440;250;100
3;BRS Amelia;250;65
3;Branca ;500;47
3;UFLA R1440;500;86
3;BRS Amelia;500;107
3;Branca ;750;30
3;UFLA R1440;750;40
3;BRS Amelia;750;48
3;Branca ;1000;30
3;UFLA R1440;1000;18
3;BRS Amelia;1000;27
4;Branca ;0;15
4;UFLA R1440;0;15
4;BRS Amelia;0;17
4;Branca ;250;65
4;UFLA R1440;250;144
4;BRS Amelia;250;142
4;Branca ;500;19
4;UFLA R1440;500;54
4;BRS Amelia;500;130
4;Branca ;750;48
4;UFLA R1440;750;68
4;BRS Amelia;750;13
4;Branca ;1000;9
4;UFLA R1440;1000;18
4;BRS Amelia;1000;15
